spec_no,mz,peak
2,50.23058701,1
2,56.7414856,1
2,57.03426361,1
2,57.0707283,1
2,58.06564713,1
2,58.07398987,0
2,59.04985046,0
2,61.0402832,1
2,61.87187195,0
2,68.11198425,1
2,69.07066345,1
2,71.08618164,0
2,77.65501404,1
2,81.07071686,1
2,83.08610535,0
2,87.04503632,1
2,95.04950714,0
2,95.08578491,0
2,97.10224915,1
2,101.0533829,1
2,101.0601044,0
2,107.086731,1
2,116.146492,1
2,123.0234604,0
2,132.0449219,1
2,133.1019287,0
2,137.0395508,1
2,149.0238037,1
2,150.0271301,0
2,167.03508,0
2,183.9254608,1
2,185.941803,0
2,191.180191,0
2,204.0449371,1
2,206.8885498,0
2,207.0823364,1
2,211.8904114,0
2,211.9180756,1
2,224.8992767,1
2,251.9145355,1
2,255.8827057,0
2,293.8420715,1
3,57.03462601,0
3,61.96494293,0
3,73.04760742,1
3,74.04718018,0
3,74.05136871,1
3,75.02700806,0
3,89.0606842,0
3,91.05809784,0
3,92.05732727,1
3,101.0614319,0
3,105.074234,0
3,129.0552826,1
3,140.447403,1
3,143.6175385,0
3,149.0462646,0
3,162.9761505,1
3,166.7587891,1
3,167.0558624,1
3,211.2120056,1
3,223.0641937,0
3,267.0004883,0
3,268.9793701,0
3,285.0104675,0
3,286.0102844,0
3,299.0628357,0
3,300.0631409,1
3,303.0209961,0
3,339.0401306,1
3,355.0711365,1
3,356.0731201,0
4,51.13493729,1
4,57.03138733,1
4,57.03433609,1
4,75.04482269,0
4,85.96044159,1
4,93.055336,0
4,98.98470306,0
4,104.9458313,0
4,106.0659485,0
4,132.0447998,1
4,133.0475311,0
4,150.055481,0
4,209.8527985,0
4,211.9939117,0
4,217.6717834,1
4,225.1028748,1
4,269.0931091,1
4,325.1200867,0
4,437.2332153,1
5,50.98285675,0
5,57.07070923,0
5,60.70838928,1
5,64.37516785,0
5,69.13559723,0
5,79.86601257,1
5,81.07051849,1
5,99.11777496,1
5,109.9489975,0
5,131.2598724,0
5,149.0099792,1
5,149.0237274,0
5,150.0276947,0
5,167.0334167,0
5,195.6925354,0
5,210.4945221,0
5,210.5182648,0
5,245.0235748,1
5,251.0476532,1
5,305.4432678,1
5,317.6109924,0
6,57.03421783,1
6,59.04990005,1
6,59.95510864,1
6,69.07057953,0
6,75.04462433,0
6,81.07061768,1
6,85.06523895,0
6,93.05522156,0
6,99.08111572,0
6,117.0914001,1
6,123.5178528,1
6,132.0449982,1
6,145.1228638,1
6,150.0555267,0
6,157.1218567,0
6,175.1333313,1
6,187.64711,1
6,187.9850769,0
6,193.1442719,0
6,247.0405273,1
6,269.0918274,1
6,299.0640259,0
6,302.0087585,0
6,401.1723022,0
7,55.84130096,0
7,57.03427124,0
7,57.10275269,1
7,62.51777267,0
7,75.0447464,1
7,78.09745789,0
7,85.57350922,0
7,92.47492981,0
7,93.05543518,1
7,98.32271576,0
7,106.0657806,1
7,107.0689011,1
7,132.0448303,0
7,150.0552368,0
7,210.8480377,1
7,211.0618744,0
7,224.0934296,1
7,225.1025085,0
7,225.1250763,1
7,226.1086731,1
7,475.1772156,1
7,510.0826721,0
7,674.3170776,1
8,53.07486343,0
8,57.03424835,0
8,60.34717941,1
8,61.65657043,1
8,62.32742691,0
8,67.37049866,1
8,69.85388184,0
8,75.04476166,0
8,77.6905365,1
8,93.05529785,0
8,106.0658264,0
8,132.0446472,1
8,150.0554504,0
8,182.0159149,1
8,210.865509,1
8,210.8899384,1
8,269.0939636,1
8,310.9436035,0
8,462.1274414,0
9,57.03434372,0
9,69.0704422,1
9,73.02966309,1
9,75.04499817,1
9,81.07056427,1
9,93.05531311,0
9,99.08103943,1
9,105.7750015,0
9,108.4592361,1
9,117.0917053,1
9,132.0449524,1
9,135.1017609,0
9,148.2954865,1
9,150.0555573,0
9,181.0805054,0
9,197.8218536,0
9,212.6733398,0
9,225.1019592,0
9,269.0912476,1
10,57.03427887,1
10,57.07086945,1
10,64.68908691,1
10,75.04480743,1
10,87.04486084,1
10,93.05529022,0
10,106.0657272,1
10,132.0448761,0
10,150.0563354,0
10,150.0681458,1
10,211.1145477,0
10,211.139679,0
10,224.0948181,0
10,225.1028137,0
10,226.1062927,0
11,55.20332336,0
11,57.07078934,1
11,73.04759216,0
11,89.06051636,0
11,91.05815887,0
11,108.5197754,1
11,116.6467743,0
11,121.0654907,1
11,122.8326797,0
11,133.0860748,0
11,149.0458984,1
11,164.9137878,0
11,167.0561523,1
11,209.1998138,0
11,212.2912292,0
11,225.0432739,1
11,287.8186035,0
11,359.0306396,1
11,360.0283203,0
11,389.6968994,1
12,57.03419113,0
12,57.07066727,1
12,58.07419586,0
12,71.08633423,0
12,75.04464722,0
12,83.79962921,1
12,93.05517578,0
12,106.0657425,0
12,125.4912949,1
12,132.0451355,1
12,135.023407,1
12,163.0758972,1
12,164.7387085,0
12,173.0402222,0
12,191.9124451,0
12,209.0599976,1
12,210.4159241,1
12,225.1036682,1
12,290.2339478,1
12,313.222229,0
12,434.168396,0
12,511.5352783,0
12,519.7047729,1
13,51.33327484,0
13,55.85813522,0
13,57.91941071,1
13,93.05517578,0
13,99.08098602,1
13,117.0913162,1
13,131.8771973,0
13,132.045105,1
13,193.1438904,1
13,213.2204437,0
13,302.0038757,0
13,316.1306152,1
13,401.1688538,1
13,519.6780396,1
13,563.4035034,1
14,55.05509949,1
14,57.070755,1
14,60.37445068,0
14,69.07071686,1
14,71.04995728,0
14,72.93802643,0
